,Topic,Scientific information,Quranic verse
0,The Big Bang Theory in Quran,the theory of the origin of the universe is one of the most noteworthy scientific things mentioned in the  until 100 years ago it was believed that the universe has no creator and has always existed but albert einstein during his field equations study challenged this belief when he presented the theory that the universe is an expanding force that is growing like a balloon later a mathematician and belgian priest proposed that this expansion must have begun from an initial and dense point,the heavens and the earth were joined together as one unit before we clove them asunder
1,The Big Crunch Theory in Quran,the big crunch theory that predicts how the universe will end is yet another scientific thing the  details the idea based on einsteins general relativity theory talks about how the universe that began with the big bang will be eventually destroyed as its consequence it is a hypothetical scenario that details the fate of the universe and explains that the expansion will eventually reverse at some point in time and the cosmos will collapse,emember the day when we shall roll up the heavens like the rolling up of written scrolls by a scribe
2,Oceanic Division mentions,the meeting of two oceans is termed conflux when two seas meet their waters retain individual properties like temperature color and density at a point of conflux one can see two different water bodies running side by side even though this discovery is recent the holy  informed the readers about this phenomenon in its 551920 passage the scientific fact in  is stated as he released the two seas meeting side by side between them is a barrier so neither of them transgresses,he released the two seas meeting side by side between them is a barrier so neither of them transgresses
3,Embryology in Quran,embryology is a branch of biology concerned with the study of fertilization and embryo development the central religious text at one point talks about embryology and states a significant scientific fact in  it says we created man from an extract of clay then we made him as a drop in a place of settlement firmly fixed then we made the drop into an alaqah blood clot then we made the alaqah into a mudghah  231214 here the word alaqah can be defined as a leech blood clot or something suspended in the air according to science a foetus gets nutrients and oxygen from the mother in this sense it is not unlike a leech that sucks blood also in the early stages the foetus stays stationary and the blood does not flow which renders it similar to a blood clot lastly in the womb the baby hangs from the uterus wall by the placenta and lies suspended,we created man from an extract of clay then we made him as a drop in a place of settlement firmly fixed then we made the drop into an alaqah blood clot then we made the alaqah into a mudghah
4,Iron Within Meteorites,according to me walrath iron is not an element that was naturally present on earth studies suggest that a billion years ago a meteorite struck earth this meteorite had iron on it and when it exploded after coming in contact with our planet earth got iron this scientific fact in  is stated in passage 5725 as we sent down iron with its great inherent strength and its many benefits for humankind,we sent down iron with its great inherent strength and its many benefits for humankind
5,Formation Of Clouds,unlike today when children in elementary school read about the formation of clouds in 609 ce this was not the case but the  still aptly describes the process of the formation of clouds the book says have you not seen how allah makes the clouds move gently then joins them together then makes them into a stack and then you see the rain come out of it this is an accurate description of what actually happens in reality the small clouds are pushed by the winds moved gently and the ones that are near each other amalgamate at this point a vertical updraft happens and the upper part of the cloud expands up in the sky as a result different parts of the cloud are raised to divergent points and look as if many clouds are piled on top of each other stacking the mention of this scientific fact in the  is ahead of time as this study only took place in the past two centuries,have you not seen how allah makes the clouds move gently then joins them together then makes them into a stack and then you see the rain come out of it 
6,Pain Receptors in Quran,for a long time it was believed that the sense of feeling and pain is because of the brain but a scientific study recently found out that our skin features pain receptors due to which we feel pain and agony surprisingly the holy text of the  hinted at this occurrence a long time ago it states we shall send those who reject our revelations to the hell fire when their skins have been burned away we shall replace them with new ones so that they may continue to feel the pain this passage clearly suggests that we feel pain because of our skin,we shall send those who reject our revelations to the hell fire when their skins have been burned away we shall replace them with new ones so that they may continue to feel the pain
7,Internal Waves In The Ocean,oceanographers while studying water bodies discovered that the belief of waves only occur on the surface of the ocean is wrong in reality the waves are present internally underneath the surface of the water and are created when the lower part of the oceanic body faces an obstacle this barrier creates a disturbance in the water body and leads to oscillation the central religious text of islam that details several secrets and facts about the depth of oceans also talks about this phenomenon one of the nine scientific facts in the  talks about the internal waves of the ocean and says that it is covered by waves above which are waves above which are clouds,it is covered by waves above which are waves above which are clouds
8,The Frontal Lobe,in the  there is a story of a man named abu jahl an oppressive leader to warn him allah said no indeed if he does not stop we will seize him by the forehead his lying sinful forehead now according to the followers of islam there is a deeper meaning behind this statement modern research into anatomy suggests that the prefrontal area of the human brain deals with planning aggression and motivation so it is the part of our brain which is responsible for lying muslims believe that the mention of the forehead is specific and intentional and it is another scientific fact stated in the ,no indeed if he does not stop we will seize him by the forehead his lying sinful forehead
9,Sun’s orbit,the belief that the sun is stationary was widespread amongst astronomers until the 20th century it is now a wellestablished scientific fact that the sun is not stationary but is moving in an orbit around the centre of our milky way galaxy it is he who created night and day the sun and the moon each floating in its orbitquran 2133,it is he who created night and day the sun and the moon each floating in its orbit
