Topic,Scientific information,Quranic verse
The Big Bang Theory in Quran,"The theory of the origin of the universe is one of the most noteworthy scientific things mentioned in the Quran. Until 100 years ago, it was believed that the universe has no creator and has always existed. But Albert Einstein, during his field equations study, challenged this belief when he presented the theory that the universe is an expanding force that is growing like a balloon. Later, a mathematician and Belgian priest proposed that this expansion must have begun from an initial and dense point.","""the heavens and the earth were joined together as one unit, before We clove them asunder"""
The Big Crunch Theory in Quran,The Big Crunch theory that predicts how the universe will end is yet another scientific thing the Quran details. The idea based on Einstein’s general relativity theory talks about how the universe that began with the big bang will be eventually destroyed as its consequence. It is a hypothetical scenario that details the fate of the universe and explains that the expansion will eventually reverse at some point in time and the cosmos will collapse.,emember the day when we shall roll up the heavens like the rolling up of written scrolls by a scribe.
Oceanic Division mentions,"The meeting of two oceans is termed conflux. When two seas meet, their waters retain individual properties like temperature, color, and density. At a point of conflux, one can see two different water bodies running side by side. Even though this discovery is recent, the holy Quran informed the readers about this phenomenon in its 55:19-20 passage. The scientific fact in Quran is stated as “he released the two seas, meeting [side by side], between them, is a barrier [so] neither of them transgresses.”","“he released the two seas, meeting [side by side], between them, is a barrier [so] neither of them transgresses.”"
Embryology in Quran,"Embryology is a branch of biology concerned with the study of fertilization and embryo development. The central religious text, at one point, talks about embryology and states a significant scientific fact in Quran. It says, “We created man from an extract of clay. Then we made him as a drop in a place of settlement, firmly fixed. Then we made the drop into an Alaqah (blood clot), then we made the Alaqah into a Mudghah…” (Quran 23:12-14). Here the word ‘Alaqah’ can be defined as a leech, blood clot, or something suspended in the air. According to science, a foetus gets nutrients and oxygen from the mother. In this sense, it is not unlike a leech that sucks blood. Also, in the early stages, the foetus stays stationary and the blood does not flow, which renders it similar to a blood clot. Lastly, in the womb, the baby hangs from the uterus wall by the placenta and lies suspended.","“We created man from an extract of clay. Then we made him as a drop in a place of settlement, firmly fixed. Then we made the drop into an Alaqah (blood clot), then we made the Alaqah into a Mudghah…”"
Iron Within Meteorites,"According to M.E. Walrath, iron is not an element that was naturally present on Earth. Studies suggest that a billion years ago, a meteorite struck Earth. This meteorite had iron on it, and when it exploded after coming in contact with our planet, Earth got iron. This scientific fact in Quran is stated in passage 57:25 as “we sent down iron with its great inherent strength and its many benefits for humankind”.",“we sent down iron with its great inherent strength and its many benefits for humankind”.
Formation Of Clouds,"Unlike today, when children in elementary school read about the formation of clouds, in 609 C.E., this was not the case. But, the Quran still aptly describes the process of the formation of clouds. The book says, “Have you not seen how Allah makes the clouds move gently, then joins them together, then makes them into a stack, and then you see the rain come out of it?” This is an accurate description of what actually happens. In reality, the small clouds are pushed by the winds (moved gently), and the ones that are near each other amalgamate. At this point, a vertical updraft happens and the upper part of the cloud expands up in the sky. As a result, different parts of the cloud are raised to divergent points and look as if many clouds are piled on top of each other (stacking). The mention of this scientific fact in the Quran is ahead of time as this study only took place in the past two centuries.","“Have you not seen how Allah makes the clouds move gently, then joins them together, then makes them into a stack, and then you see the rain come out of it?” "
Pain Receptors in Quran,"For a long time, it was believed that the sense of feeling and pain is because of the brain. But, a scientific study recently found out that our skin features pain receptors due to which we feel pain and agony. Surprisingly, the holy text of the Quran hinted at this occurrence a long time ago. It states, “We shall send those who reject our revelations to the (hell) fire. When their skins have been burned away, we shall replace them with new ones so that they may continue to feel the pain.” This passage clearly suggests that we feel pain because of our skin.","“We shall send those who reject our revelations to the (hell) fire. When their skins have been burned away, we shall replace them with new ones so that they may continue to feel the pain.”"
Internal Waves In The Ocean,"Oceanographers while studying water bodies discovered that the belief of waves only occur on the surface of the ocean is wrong. In reality, the waves are present internally underneath the surface of the water and are created when the lower part of the oceanic body faces an obstacle. This barrier creates a disturbance in the water body and leads to oscillation. The central religious text of Islam that details several secrets and facts about the depth of oceans also talks about this phenomenon. One of the nine scientific facts in the Quran talks about the internal waves of the ocean and says that “it is covered by waves, above which are waves, above which are clouds.”","“it is covered by waves, above which are waves, above which are clouds.”"
The Frontal Lobe,"In the Quran, there is a story of a man named Abu Jahl, an oppressive leader. To warn him, Allah said, “No indeed! if he does not stop, we will seize him by the forehead, his lying, sinful forehead.” Now, according to the followers of Islam, there is a deeper meaning behind this statement. Modern research into anatomy suggests that the prefrontal area of the human brain deals with planning, aggression, and motivation. So, it is the part of our brain which is responsible for lying. Muslims believe that the mention of the forehead is specific and intentional and it is another scientific fact stated in the Quran.","“No indeed! if he does not stop, we will seize him by the forehead, his lying, sinful forehead.”"
Sun’s orbit,"The belief that the Sun is stationary was widespread amongst astronomers until the 20th century. It is now a well-established scientific fact that the Sun is not stationary, but is moving in an orbit around the centre of our Milky Way galaxy. “It is He who created night and day, the sun and the moon, each floating in its orbit.”[Quran, 21:33]","“It is He who created night and day, the sun and the moon, each floating in its orbit.”"
